NAME,CITY,STABBR,BASIC2015,S&ER&D,NONS&ER&D,PDNFRSTAFF,FACNUM,HUM_RSD,SOCSC_RSD,STEM_RSD,OTHER_RSD,DRSPROF
University of North Carolina at Chapel Hill,Chapel Hill,NC,15,955601,34165,1034,1443,90,65,284,118,118
University of North Carolina at Charlotte,Charlotte,NC,16,20646,2696,27,716,0,8,63,51,51
University of North Carolina at Greensboro,Greensboro,NC,16,15735,4988,18,542,17,8,9,97,97
University of North Dakota,Grand Forks,ND,16,67199,396,22,640,1,3,17,38,38
University of North Texas,Denton,TX,15,39453,4727,71,768,50,19,74,127,127
University of Northern Colorado,Greeley,CO,16,3252,924,0,437,5,5,11,75,75
University of Notre Dame,Notre Dame,IN,15,160461,21767,186,874,23,30,136,16,16
University of Oklahoma-Norman Campus,Norman,OK,15,113552,13120,201,1001,34,29,92,56,56
University of Oregon,Eugene,OR,15,77655,13548,178,689,56,27,36,36,36
University of Pennsylvania,Philadelphia,PA,15,792314,36036,1388,1563,80,57,262,142,142
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15,835838,20968,1068,3568,72,47,268,109,109
University of Puerto Rico-Rio Piedras,San Juan,PR,16,26656,2137,11,777,9,18,28,28,28
University of Rhode Island,Kingston,RI,16,84393,7313,59,582,4,4,55,38,38
University of Rochester,Rochester,NY,15,347161,6258,371,1462,58,32,140,51,51
University of San Diego,San Diego,CA,17,2873,2273,5,393,0,0,0,37,37
University of San Francisco,San Francisco,CA,17,2208,556,0,438,0,0,0,30,30
University of South Alabama,Mobile,AL,16,34746,6935,39,627,0,6,11,5,5
University of South Carolina-Columbia,Columbia,SC,15,181363,24810,150,1300,45,25,144,111,111
University of South Dakota,Vermillion,SD,16,27367,3333,38,324,2,12,13,36,36
University of South Florida-Main Campus,Tampa,FL,15,436578,52063,447,1401,22,43,127,138,138
University of Southern California,Los Angeles,CA,15,650506,36716,743,1782,92,50,265,187,187
University of Southern Mississippi,Hattiesburg,MS,16,45127,6811,29,543,20,19,12,71,71
University of St Thomas-Saint Paul,Saint Paul,MN,17,647,269,0,419,0,0,0,26,26
University of the Pacific,Stockton,CA,17,1877,2211,2,386,0,1,0,69,69
University of Toledo,Toledo,OH,16,56710,5190,43,549,1,3,70,37,37
University of Tulsa,Tulsa,OK,16,26460,617,17,308,4,2,20,6,6
University of Utah,Salt Lake City,UT,15,476017,10123,466,1462,41,42,171,76,76
University of Vermont,Burlington,VT,16,109343,358,85,968,0,10,47,14,14
University of Virginia-Main Campus,Charlottesville,VA,15,337732,20844,557,1774,85,54,204,81,81
University of Washington-Seattle Campus,Seattle,WA,15,1091135,85205,1522,2770,86,64,392,121,121
University of West Georgia,Carrollton,GA,17,905,1485,0,392,0,1,0,22,22
University of Wisconsin-Madison,Madison,WI,15,984830,123734,1354,1988,124,88,402,199,199
University of Wisconsin-Milwaukee,Milwaukee,WI,15,51316,9436,76,787,25,45,63,53,53
University of Wyoming,Laramie,WY,16,48736,2686,104,598,0,5,67,35,35
Utah State University,Logan,UT,16,163201,1691,119,739,2,14,60,33,33
Vanderbilt University,Nashville,TN,15,659418,24472,760,2693,39,33,188,57,57
Villanova University,Villanova,PA,17,11645,2055,15,590,6,0,7,7,7
Virginia Commonwealth University,Richmond,VA,15,177540,24318,230,1799,3,6,97,222,223
Virginia Polytechnic Institute and State University,Blacksburg,VA,15,502486,10663,442,1501,1,42,311,140,140
Wake Forest University,Winston Salem,NC,16,176380,0,202,1323,0,0,53,0,0
Washington State University,Pullman,WA,15,287942,38472,231,874,14,31,132,83,83
Washington University in St Louis,Saint Louis,MO,15,646759,17993,510,1317,30,36,169,26,26
Wayne State University,Detroit,MI,15,213253,5182,321,1585,21,46,126,51,51
West Virginia University,Morgantown,WV,15,156946,7508,159,1749,16,14,74,51,51
Western Michigan University,Kalamazoo,MI,16,13500,5442,0,813,13,14,29,65,65
Wichita State University,Wichita,KS,16,53614,5245,15,399,0,3,26,10,10
Worcester Polytechnic Institute,Worcester,MA,16,26544,3385,35,243,0,0,31,0,0
Wright State University-Main Campus,Dayton,OH,17,54985,0,5,641,0,8,29,5,5
Yale University,New Haven,CT,15,764002,8838,1214,2124,118,65,191,39,39
Yeshiva University,New York,NY,16,306826,0,424,916,0,0,52,72,72
